f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-8 42.969979 2430000 19489 21137.614679
1+1E-0.187942 1+1E-8 8.480292 490000 4083 4262.317363
1+1E-0.546643 1+1E-8 9.032358 520000 4345 4523.275569
1+1E-0.875664 1+1E-8 3.794756 220000 1741 1913.758537
1+1E-1.190478 1+1E-8 9.921437 570000 4808 4958.205912
1+1E-1.498346 1+1E-8 9.775917 560000 4502 4871.219844
1+1E-1.802783 1+1E-8 8.690604 510000 4006 4436.289501
1+1E-2.105512 1+1E-8 17.755262 1040000 8411 9046.551138
1+1E-2.407391 1+1E-8 13.492550 790000 6224 6871.899422
1+1E-2.708846 1+1E-8 34.821595 2040000 16114 17745.158002
1+1E-3.010088 1+1E-8 40.747626 2380000 19093 20702.684336
1+1E-3.311224 1+1E-8 70.148243 4100000 32412 35664.288141
1+1E-3.612307 1+1E-8 111.045306 6500000 51764 56540.944614
1+1E-3.913363 1+1E-8 112.825758 6570000 51572 57149.847095
1+1E-4.214407 1+1E-8 210.813892 12200000 96038 106123.003738
1+1E-4.515443 1+1E-8 238.524854 13730000 107754 119431.872239
1+1E-4.816477 1+1E-8 2158.460678 123950000 987495 1078192.320761
1+1E-5.117508 1+1E-8 1608.142412 92690000 728312 806273.870200
1+1E-5.418539 1+1E-8 1047.350306 60180000 472547 523482.161060
1+1E-5.719570 1+1E-8 800.837254 45360000 361328 394568.807339
1+1E-6.020600 1+1E-8 1963.739563 110670000 866810 962674.821611
1+1E-6.321630 1+1E-8 641.269680 35880000 281746 312106.014271
1+1E-6.622660 1+1E-8 2422.300803 136640000 1069867 1188577.641862
1+1E-6.923690 1+1E-8 830.746953 46950000 368453 408399.592253
1+1E-7.224720 1+1E-8 2489.486774 141610000 1110499 1231809.717975
1+1E-7.525750 1+1E-8 742.973076 42280000 331677 367777.098199
1+1E-7.826780 1+1E-8 2197.714869 124920000 979520 1086629.969419
17845.9
