f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-7 3628.817047 47920000 80296 98680.534608
1+1E-0.187942 1+1E-7 201.403841 2670000 4725 5498.290633
1+1E-0.546643 1+1E-7 246.514587 3260000 5988 6713.295714
1+1E-0.875664 1+1E-7 205.600842 2720000 4919 5601.322463
1+1E-1.190478 1+1E-7 576.982157 7580000 13473 15609.348008
1+1E-1.498346 1+1E-7 123.187196 1640000 2712 3377.267956
1+1E-1.802783 1+1E-7 235.740100 3210000 5946 6610.317762
1+1E-2.105512 1+1E-7 713.341349 9640000 16456 19851.426411
1+1E-2.407391 1+1E-7 1356.392245 18310000 35034 37705.354521
1+1E-2.708846 1+1E-7 736.241035 10020000 16805 20633.993014
1+1E-3.010088 1+1E-7 1605.389920 21820000 38127 44933.415383
1+1E-3.311224 1+1E-7 2009.828683 27260000 45122 56135.880079
1+1E-3.612307 1+1E-7 3257.836099 44090000 75626 90793.505235
1+1E-3.913363 1+1E-7 4835.718034 64730000 109153 133296.974231
1+1E-4.214407 1+1E-7 5505.408326 73520000 127597 151398.015533
1+1E-4.515443 1+1E-7 10510.332922 140300000 234429 288916.506791
1+1E-4.816477 1+1E-7 14139.423688 188850000 324963 388894.385656
1+1E-5.117508 1+1E-7 23025.901090 311100000 515741 640640.949841
1+1E-5.418539 1+1E-7 22559.523404 304630000 505246 627317.430248
1+1E-5.719570 1+1E-7 51638.996699 696140000 1151251 1433544.811387
1+1E-6.020600 1+1E-7 69331.811811 945890000 1568933 1947849.141901
1+1E-6.321630 1+1E-7 82450.543468 1107650000 1891522 2280957.724499
1+1E-6.622660 1+1E-7 49115.304477 672050000 1117400 1383936.838126
1+1E-6.923690 1+1E-7 75036.724699 1029800000 1713516 2120643.041294
423047
