f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 48.445258 2810000 22082 24443.085287
1+1E-0.187942 1+1E-6 7.834904 450000 3732 3914.373089
1+1E-0.546643 1+1E-6 3.814500 220000 1738 1913.693510
1+1E-0.875664 1+1E-6 11.499164 660000 5585 5741.080530
1+1E-1.190478 1+1E-6 9.241340 530000 4440 4610.261638
1+1E-1.498346 1+1E-6 3.996017 230000 1812 2000.679579
1+1E-1.802783 1+1E-6 9.026503 530000 4228 4610.261638
1+1E-2.105512 1+1E-6 19.410495 1140000 9455 9916.411825
1+1E-2.407391 1+1E-6 19.923229 1170000 9251 10177.370031
1+1E-2.708846 1+1E-6 25.576993 1500000 12005 13047.910296
1+1E-3.010088 1+1E-6 41.992308 2460000 19301 21398.572885
1+1E-3.311224 1+1E-6 48.350033 2830000 22239 24617.057424
1+1E-3.612307 1+1E-6 108.876152 6380000 50255 55497.111791
1+1E-3.913363 1+1E-6 158.093899 9200000 72151 80027.183146
1+1E-4.214407 1+1E-6 223.221839 12880000 101646 112038.056405
1+1E-4.515443 1+1E-6 308.349408 17760000 139293 154487.257900
1+1E-4.816477 1+1E-6 340.336991 19580000 153707 170318.722392
1+1E-5.117508 1+1E-6 513.588985 29530000 231193 256869.860686
1+1E-5.418539 1+1E-6 645.694605 37110000 290565 322805.300714
1+1E-5.719570 1+1E-6 787.953541 45280000 356128 393872.918790
3335.23
