f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-7 47.053484 2730000 21634 23747.196738
1+1E-0.187942 1+1E-7 3.793389 220000 1732 1913.693510
1+1E-0.546643 1+1E-7 3.454717 200000 1568 1739.721373
1+1E-0.875664 1+1E-7 3.869303 220000 1747 1913.693510
1+1E-1.190478 1+1E-7 9.968525 570000 4778 4958.205912
1+1E-1.498346 1+1E-7 8.571203 490000 3981 4262.317363
1+1E-1.802783 1+1E-7 8.014358 470000 3773 4088.345226
1+1E-2.105512 1+1E-7 12.304172 720000 5680 6262.996942
1+1E-2.407391 1+1E-7 16.949347 990000 7780 8611.620795
1+1E-2.708846 1+1E-7 26.867216 1570000 12400 13656.812776
1+1E-3.010088 1+1E-7 43.637597 2550000 20173 22181.447503
1+1E-3.311224 1+1E-7 78.390324 4580000 35932 39839.619436
1+1E-3.612307 1+1E-7 127.189074 7430000 58646 64630.648998
1+1E-3.913363 1+1E-7 101.850466 5920000 46562 51495.752633
1+1E-4.214407 1+1E-7 216.873252 12530000 98182 108993.544003
1+1E-4.515443 1+1E-7 285.629147 16430000 130350 142918.110771
1+1E-4.816477 1+1E-7 376.326390 21640000 169420 188237.852531
1+1E-5.117508 1+1E-7 540.056076 31030000 242998 269917.770982
1+1E-5.418539 1+1E-7 591.477809 33970000 265947 295491.675161
1+1E-5.719570 1+1E-7 1158.146300 66590000 521565 579240.231057
1+1E-6.020600 1+1E-7 1469.000230 84750000 664363 737206.931702
1+1E-6.321630 1+1E-7 1265.559675 71970000 564087 626038.735984
1+1E-6.622660 1+1E-7 1611.789339 90860000 717789 790355.419640
1+1E-6.923690 1+1E-7 4211.872055 236850000 1894784 2060265.035678
12218.6
